name,timestamp,likes,isretweet,isreply,text,retweets,replies
VoltaCharging,1614978298,23,false,false,"Companies across the country continue to take action in addressing climate change solutions. Thrilled to see that @FedEx has joined the pledge in setting carbon-neutral goals within the next few decades.

https://t.co/cQf60TySRm
#Sustainability #ElectricVehicles #EVRevolution",4,0
VoltaCharging,1614877249,51,false,false,"#VoltaCharging &amp; @chevrolet agree, drivers are ready for widespread adoption of #EVs. With new affordable #EV options on the market &amp; Volta stations conveniently located to #chargeup wherever you go, the #DriveForward has never looked better. 

Read more: https://t.co/bCjGZoyAl8",11,2
VoltaCharging,1614864736,36,false,false,"Our people are the charge behind #VoltaCharging’s innovation, which is why we are excited to welcome Julie Rogers as our new Chief People Officer.

Read the full release here: https://t.co/yC8lYeObyJ",5,0
VoltaCharging,1614783648,29,false,false,"In honor of Women's History Month, we wanted to spotlight VP Harris' visit to our partner the @GiantFood Pharmacy in Washington, D.C. to celebrate local residents getting vaccinated. In 2021, let's uplift the women in our lives &amp; #DriveForward towards a more equitable future. https://t.co/404JcDWuLq",5,1
VoltaCharging,1614722441,76,false,false,"Where California goes, the nation follows. Leading the #charge as we move away from a carbon economy, consumers are looking for reliable #EV charging networks like #VoltaCharging. 

#DriveElectric #DriveForward #Sustainability

Read more: https://t.co/QBUJOsq3kZ",10,4
VoltaCharging,1614696561,97,false,false,"📍The new stations just keep coming! @regencycenters’ The Market at Springwoods Village in Spring, Texas just unveiled two new Volta stations &amp; we couldn't be more excited to #DriveForward together.

#VoltaCharging #DriveElectric #ElectricVehicles #EVs https://t.co/AGtbq0qpVA",24,4
VoltaCharging,1614553467,23,false,false,"Our final #BHM innovator is Dr. Warren Washington, an atmospheric scientist &amp; only the second Black man to receive a doctorate in meteorology in 1964. Dr. Washington has been involved in global climate change research for 50+ years &amp; earned the National Medal of Science in 2010. https://t.co/0dYTTXk0JH",1,0
VoltaCharging,1614349761,85,false,false,"📍 New stations alert! Congratulations to @Albertsons in Tustin, California for welcoming 2 new Volta stations to their site. Be sure to #chargeup next time you visit. 

#VoltaCharging #DriveForward #DriveElectric #ElectricVehicles #EVs https://t.co/7J7kd9qdA5",14,6
VoltaCharging,1614297194,21,false,false,"Interesting insights from @JDPower on how to convert undecided consumers into #EV believers.
 
#EVs #ElectricVehicles #DriveElectric",4,1
VoltaCharging,1614266686,41,false,false,"What will the accelerated adoption of #EV, smart home technology, and #renewables mean for the “grid of tomorrow?” Tune in to @uclaanderson’s Energy Innovation Conference on Friday and hear what our SVP of Network Planning, Karen Zelmar, has to say: https://t.co/2hOTZwTyit",6,4
VoltaCharging,1614192796,115,false,false,"📍 New stations alert! Congratulations to Nassau Park Pavilion in Princeton, New Jersey for welcoming 4 new Volta stations to their site. Be sure to #chargeup next time you visit. 
 
#VoltaCharging #DriveForward #DriveElectric #ElectricVehicles #EVs https://t.co/U0bST23qIH",20,3
