name,timestamp,likes,isretweet,isreply,text,retweets,replies
AppHarvest,1615159903,0,true,false,RT @AppalachiaRises: Watch as Kentuckians come together to raise funds for those in need from the flooding that has left appalachia in cris…,16,0
AppHarvest,1615011561,0,true,false,"RT @WKYT: “Eastern Kentucky is defined by faith and grit,"" said AppHarvest Founder &amp; CEO Jonathan Webb. https://t.co/RXFfGJz29J",8,0
AppHarvest,1614985573,0,true,false,RT @AppalachiaRises: Severe floods this week devastated 50+ communities across Kentucky. Visit https://t.co/DP3X4yJ2FT to donate to our App…,9,0
AppHarvest,1614956024,13,false,true,"Follow us in March to see more about the impact you are making by uplifting businesses that ""balance profits and purpose"" (https://t.co/s8bDsfNFm1) #bcorpmonth #beepuns #appharvest",2,0
AppHarvest,1614956024,38,false,false,"Like the bees that help pollinate our plants, your support allows us to spread our mission to #feedthefuture from the ❤️ of Appalachia. https://t.co/Ew3OmrdYX0",5,2
AppHarvest,1614825306,296,false,false,"Our first crop. Grown with love, packed with care, ripe with flavor. https://t.co/IRLebE18Bz",47,13
AppHarvest,1614720769,13,false,true,".@JoeSquawk, we’ve got one for you too! The perfect look for a visit to Appalachia, in our opinion 😉",0,0
AppHarvest,1614720769,33,false,false,"First stop @squawkcnbc, next stop Fashion Week. @andrewrsorkin can model for both. https://t.co/Y1hz0HGZlX",6,1
AppHarvest,1614627018,10,false,true,Faith + Grit #appalachianproud #letsgrow #peoplestrong #PeopleFirst,3,0
AppHarvest,1614627017,59,false,false,"""This team together has enabled the success we’ve had as a company to accomplish our mission to help feed the planet &amp; provide local opportunities. They are the heroes who inspire me every day."" - CEO @JonathanWebbKY 
as he greets employees in the early morning hrs.
#faithandgrit https://t.co/yoohNE4pHP",14,3
AppHarvest,1614366599,102,false,false,"Ramel has been with AppHarvest since day one, building up and engaging communities across the country- on and off the court! We appreciate you! https://t.co/j8ck0j7SQU",13,3
AppHarvest,1614280784,32,false,false,Happy National Chili Day! Can't have chili without some delicious tomatoes! What's your secret chili ingredient? https://t.co/3dBPCtalwe,3,1
AppHarvest,1614221553,148,false,false,We find you intriguing too @jimcramer. Invitation accepted! #madmoney #agtech #appharvest #missiondriven #passionfueled #letsgrow https://t.co/VTFPdr2kgQ,27,4
AppHarvest,1614118968,65,false,false,"We placed #12 on the FoodTech 500! Forward Fooding: ""The FoodTech 500 showcases selected international AgriFoodTech startup and scaleup companies that are acting as a force of good for creating a brighter future of food."" #food #tech #foodtech500 #forwardfooding https://t.co/7pQCPsXTb4",16,1
AppHarvest,1613774541,74,false,false,"Born and raised in Kentucky, David is helping us grow a better tomorrow. #BHM https://t.co/iML9KN53kp",7,0
AppHarvest,1613763192,0,true,false,"RT @RiseOfRest: ICYMI: Earlier this month, @SteveCase &amp; @JonathanWebbKY wore matching flannels on @SquawkCNBC as @AppHarvest debuted on the…",13,0
AppHarvest,1613685392,0,true,false,RT @middletechpod: #ThrowbackThursday to when we had @JonathanWebbKY on to discuss the serious issue we face with the scarcity of clean dri…,4,0
AppHarvest,1613684563,66,false,false,"We talk often about Appalachia’s faith and grit, embodied by our friends and neighbors who embrace challenges with courage and resolve. That’s been on display this week as our team has banded together to continue growing, harvesting and shipping while surrounded by snow and ice. https://t.co/gpZxR80szd",10,0
AppHarvest,1613580184,125,false,false,What's the buzz? Our indoor farm has hundreds of hives with up to 150 bumblebees each for maximum pollination. Power to the pollinators! #bumblebee #purepollination https://t.co/kr0Ix4NjDG,22,3
AppHarvest,1613489749,0,true,false,RT @AppHarvest: @GovAndyBeshear joined us at our Morehead farm last week to celebrate more than 1 million pounds of tomatoes shipped since…,21,0
AppHarvest,1613396147,0,true,false,RT @CNBC: Indoor farming company with backing from Ubben aims to solve the problems with America's produce https://t.co/wROTS07l7T,39,0
AppHarvest,1613391430,0,true,false,RT @BallingerCarrie: I am thrilled to announce that ⁦@RockcastleCoSch⁩ will be partnering with ⁦@AppHarvest⁩ to house a hydroponic containe…,14,0
AppHarvest,1613322026,87,false,false,Happy Valentine’s Day from the heart of Appalachia! #ValentinesDay2021 https://t.co/VKpI3CBx8g,8,1
AppHarvest,1613064744,0,true,false,RT @Cowen_Inc: Cowen is proud to support @AppHarvest as they expand their educational high-tech container farm program for Eastern Kentucky…,8,0
AppHarvest,1612988606,0,true,false,"RT @endeavor_global: Last week, @AppHarvest became the first US-based Endeavor company to debut on the #Nasdaq, showing the investment worl…",18,0
AppHarvest,1612918847,0,true,false,RT @GovAndyBeshear: Today I was able to visit @AppHarvest and tour the innovative company with its founder and CEO @JonathanWebbKy. AppHarv…,65,0
AppHarvest,1612908426,0,true,false,"RT @CEDkygov: “From Silicon Valley to Wall Street, experts with an eye on the future are watching @AppHarvest as it redefines how we feed a…",8,0
AppHarvest,1612907262,222,false,false,"Kentucky @GovAndyBeshear joined us at our Morehead farm today to celebrate more than 1 million pounds of tomatoes shipped since our first harvest. ""I'm seeing a big, bright future for Kentucky,"" Gov. Beshear remarked, ""and AppHarvest is leading the way."" Thanks, Governor. https://t.co/At9hpp0gQs",35,7
AppHarvest,1612903641,0,true,false,RT @teena_maddox: Appalachian agtech: Indoor farm brings 1 million pounds of sustainable produce to market https://t.co/2D7N01pSoa via @tec…,13,0
AppHarvest,1612892890,0,true,false,"RT @wef: This farm uses 90% less water than traditional farms. 

🔎 Learn more about how we can manage water consumption in agriculture: htt…",348,0
AppHarvest,1612891368,0,true,false,"RT @GovAndyBeshear: From Silicon Valley to Wall Street, experts with an eye on the future are watching @AppHarvest as it redefines how we f…",23,0
AppHarvest,1612749285,20,false,false,What's in your @UberEats cart? We suggest fresh veggies - perfect snacking for game time! #appharvest #ecofarming #eatlocal #superbowl https://t.co/n32pcRpKQv,0,0
AppHarvest,1612744471,26,false,false,"Working hard &amp; using your talents still means something. Shout out to our crop care specialists and packhouse employees. We hope you're as proud to work for us as we are to have you as part of the AppHarvest family. @WeatherTech #appalachiaproud 
https://t.co/8U3NljBw9L",2,0
AppHarvest,1612742866,65,false,false,"For years, Norway has led in EV technology. In the same way, the Netherlands has shown us what the future of farming could look like. Now, the future of farming is happening right now in Appalachia. @GM #nowaynorway #agtech #letsdobetter #superbowl https://t.co/0BJgUld6Hc",8,0
AppHarvest,1612730562,0,true,false,RT @LWB_Mayor: A morning run today led me by an incredible partnership in our community. So proud and so excited to see what the future hol…,7,0
AppHarvest,1612729637,0,true,false,"RT @AppHarvest: @vonnie_estes discussed water conservation tech with our Chief Sustainability Officer Jackie Roberts. Jackie explained, “Th…",5,0
AppHarvest,1612629633,75,false,false,"We’re on the cover of Greenhouse Grower Magazine! The article highlights how AppHarvest built a roadmap to success: “The people are the lifeblood of our company, and they’ve helped us prove ourselves and come in on time and under budget during a pandemic.” #faithandgrit #letsgrow https://t.co/vHiyQ4OPkM",19,3
AppHarvest,1612553040,0,true,false,RT @JonathanWebbKY: Kentucky this was a wild week... @appharvest is now listed on @nasdaq 🌱 https://t.co/iDr3ogeazY,12,0
AppHarvest,1612547682,0,true,false,"RT @UKAgriculture: This #FeelGoodFriday, we're shining a spotlight on @UKCLD alum, Ramel Bradley.

Bradley is the community director at @Ap…",18,0
AppHarvest,1612478278,0,true,false,RT @RiseOfRest: The future of #agtech is here with #RiseofRest-backed @AppHarvest:,14,0
AppHarvest,1612457504,23,false,false,"This Friday is the first annual Good Business Summit. Hosted by @CanopyKY, the online event will feature talks from leaders in KY’s good business movement. Our Founder and CEO will speak about how AppHarvest is using business as a force for good, putting people and planet first. https://t.co/FvMXNb1yEo",4,1
AppHarvest,1612454036,0,true,false,RT @anotherdlee: Thanks @wef for recognizing that @AppHarvest can change the world for the better!  #letsgrow @JonathanWebbKY,19,0
AppHarvest,1612444611,0,true,false,"RT @RiseOfRest: ""Entrepreneurs are the realistic optimists who are brave enough to reimagine the future and crazy enough to believe they ca…",19,0
AppHarvest,1612373662,0,true,false,RT @RiseOfRest: “We knew we wanted to bring transparency to #agriculture from day 1 and the best way to do that is to be a publicly traded…,8,0
AppHarvest,1612371153,0,true,false,"RT @thier_jane: So great to speak with @anotherdlee yesterday, on  @AppHarvest's first day of trading, about #SPACs, #IPOs, and how his tim…",4,0
AppHarvest,1612371113,0,true,false,RT @Endeavor_Lou: ICYMI: @AppHarvest Founder/CEO and Endeavor Entrepreneur Jonathan Webb rang the opening bell Monday as the AgTech company…,8,0
AppHarvest,1612320104,0,true,false,"RT @CNBC: ""It gives retail investors an opportunity to invest in these growth companies in the innovation economy,"" says @SteveCase. ""SPACs…",18,0
AppHarvest,1612297258,0,true,false,"RT @GovAndyBeshear: Yesterday, @AppHarvest did something really exciting: they became a publicly traded company. Watch CEO @JonathanWebbKy…",33,0
AppHarvest,1612287059,59,false,false,"Together, we will rebuild a global food system that puts people and planet first. Appalachia, let’s grow! #AppHarvestGoesPublic https://t.co/TanwSP9Qxh",14,2
AppHarvest,1612285141,83,false,false,"Yesterday AppHarvest stepped onto the national stage as a publicly traded company. Today, we continue our mission to feed the future from the heart of Appalachia. #AppHarvestGoesPublic https://t.co/eIPTnSYkYV",9,2
AppHarvest,1612284818,0,true,false,RT @bcorpuscan: Exciting news from #BCorp @AppHarvest 🌱,3,0
AppHarvest,1612274556,0,true,false,RT @SquawkCNBC: Two of our guests @stevecase &amp; @JonathanWebbKY coordinating their #WFH TV wardrobe: https://t.co/6smPiejarq,10,0
AppHarvest,1612273690,0,true,false,"RT @CNBC: ""It gives retail investors an opportunity to invest in these growth companies in the innovation economy,"" says @SteveCase. ""SPACs…",29,0
AppHarvest,1612271301,0,true,false,"RT @SquawkCNBC: ""It gives retail investors an opportunity to invest in these growth companies in the innovation economy,"" says @SteveCase.…",12,0
AppHarvest,1612252135,0,true,false,"RT @Quicktake: She’s already the queen of home and lifestyle. Now she’s taking over the agricultural investing space.

Here’s how @MarthaSt…",22,0
AppHarvest,1612228515,0,true,false,"RT @Quicktake: “Right now in Kentucky, the mountainsides are snowy, and it feels like a nice warm spring day inside of our facilities.”

He…",14,0
AppHarvest,1612209327,0,true,false,"RT @YahooFinance: “AppHarvest is founded to build some of the world's largest controlled environment agriculture facilities, and we’re doin…",23,0
AppHarvest,1612209291,0,true,false,"RT @pattrn: Take a tour of the largest climate-controlled indoor farm in the U.S. 

The @AppHarvest farm is designed to use less water with…",25,0
AppHarvest,1612207829,146,false,false,"Today, we brought Wall Street to Appalachia. The farmers and futurists at AppHarvest are ready to continue disrupting the ag industry. Our faith and grit brought us here, and we can't wait to see what's next. #AppHarvestGoesPublic https://t.co/qaIAXU9QSO",25,11
AppHarvest,1612195330,0,true,false,"RT @Nasdaq: #NasdaqListed @AppHarvest is dedicated to building a sustainable, homegrown food supply that’s accessible to all, all year long…",15,0
AppHarvest,1612195043,0,true,false,RT @Nasdaq: Plants with a purpose ✅ #NasdaqListed: $APPH ✅ https://t.co/pnrvZH9Q35,13,0
AppHarvest,1612195038,0,true,false,"RT @Nasdaq: This morning, CEO @JonathanWebbKY celebrated ringing the @Nasdaq Opening Bell by sharing a message of hope and sustainability:…",17,0
AppHarvest,1612195029,0,true,false,"RT @Nasdaq: 💡 Part vision. Part science. All inspiration. 

@AppHarvest’s indoor farms combine innovative technology with natural resources…",6,0
AppHarvest,1612195022,0,true,false,"RT @Nasdaq: 🍅@AppHarvest is rooted in doing right—harnessing nature, not chemicals, to grow their products. #AppHarvestGoesPublic https://t…",5,0
AppHarvest,1612195018,0,true,false,"RT @Nasdaq: 🌱 With a flagship facility in Morehead, KY, @AppHarvest is on a mission to feed the future, producing plants for a safer, healt…",4,0
AppHarvest,1612194340,0,true,false,RT @Nasdaq: .@AppHarvest was founded with the goal to feed the future from the heart of Appalachia. We speak with CEO Jonathan Webb (@Jonat…,6,0
AppHarvest,1612193718,0,true,false,"RT @Nasdaq: #AppHarvestGoesPublic 🌱

Today, we welcome @AppHarvest to the #NasdaqListed Family!
 
Founded in 2017, AppHarvest is an AgTech…",30,0
AppHarvest,1612191633,144,false,false,"AppHarvest is going public! We're redefining American agriculture by developing modern, large-scale and efficient indoor farms. #AppHarvestGoesPublic https://t.co/D0RjX6ecXt",24,7
AppHarvest,1612190810,0,true,false,RT @KiranRaju: Today $APPH trades on Nasdaq and I have no doubt @AppHarvest will revitalize American agriculture with new tech and a focus…,5,0
AppHarvest,1612190798,0,true,false,"RT @KiranRaju: The team saw the opportunity to feed the world fresh, local veggies, but personally most important to me, @appharvest also s…",6,0
AppHarvest,1612190761,0,true,false,"RT @AnnaMasonDC: Filled with so much pride and happiness for this incredible team and company, @AppHarvest led by @JonathanWebbKY. The 1st…",11,0
